0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:33:58 +0100] "GET /ecom/plugins/moment/moment.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:33:58 +0100] "GET /ecom/plugins/summernote/summernote-bs4.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:33:58 +0100] "GET /ecom/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:33:58 +0100] "GET /ecom/plugins/tempusdominus-bootstrap-4/js/tempusdominus-bootstrap-4.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:33:58 +0100] "GET /ecom/dist/js/adminlte.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:33:58 +0100] "GET /ecom/dist/js/demo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:33:58 +0100] "GET /ecom/plugins/pace-progress/pace.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:33:58 +0100] "GET /ecom/dist/js/pages/dashboard.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:33:58 +0100] "GET /ecom/plugins/toastr/toastr.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:33:58 +0100] "GET /ecom/plugins/sweetalert2/sweetalert2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:33:58 +0100] "GET /ecom/dist/img/person.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:33:58 +0100] "GET /ecom/dist/img/logoSite.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:34:03 +0100] "GET /ecom/listefamille HTTP/1.1" 200 10866
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:34:03 +0100] "GET /ecom/plugins/fontawesome-free/css1/all.min.css HTTP/1.1" 404 744
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:34:14 +0100] "GET /ecom/commande HTTP/1.1" 200 14966
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:34:14 +0100] "GET /ecom/plugins/fontawesome-free/css1/all.min.css HTTP/1.1" 404 744
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:34:14 +0100] "GET /ecom/image/microsoft%20Surface.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:34:14 +0100] "GET /ecom/image/acer%20nitro5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:34:21 +0100] "GET /ecom/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:34:21 +0100] "GET /ecom/login.jsp HTTP/1.1" 200 16779
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:34:25 +0100] "GET /ecom/listefamille HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:34:42 +0100] "POST /ecom/login HTTP/1.1" 200 10140
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:34:42 +0100] "GET /ecom/css/ajax-loader.gif HTTP/1.1" 404 714
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:34:44 +0100] "GET /ecom/listePCC HTTP/1.1" 200 12715
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:34:44 +0100] "GET /ecom/image/iphone14.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:34:52 +0100] "GET /ecom/view?numPro=9 HTTP/1.1" 200 8927
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:34:55 +0100] "POST /ecom/ajouterC HTTP/1.1" 200 12715
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:34:56 +0100] "GET /ecom/listePa HTTP/1.1" 200 17058
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:35:06 +0100] "GET /ecom/valide?numCde=28 HTTP/1.1" 200 16964
