0:0:0:0:0:0:0:1 - - [17/Jan/2023:22:51:56 +0100] "GET /ecom/dist/js/adminlte.js HTTP/1.1" 200 55314
0:0:0:0:0:0:0:1 - - [17/Jan/2023:22:51:56 +0100] "GET /ecom/dist/js/demo.js HTTP/1.1" 200 12351
0:0:0:0:0:0:0:1 - - [17/Jan/2023:22:51:56 +0100] "GET /ecom/plugins/sweetalert2/sweetalert2.min.js HTTP/1.1" 200 39074
0:0:0:0:0:0:0:1 - - [17/Jan/2023:22:51:56 +0100] "GET /ecom/plugins/pace-progress/pace.min.js HTTP/1.1" 200 12603
0:0:0:0:0:0:0:1 - - [17/Jan/2023:22:51:56 +0100] "GET /ecom/plugins/toastr/toastr.min.js HTTP/1.1" 200 5251
0:0:0:0:0:0:0:1 - - [17/Jan/2023:22:51:56 +0100] "GET /ecom/dist/img/logoSite.png HTTP/1.1" 200 37918
0:0:0:0:0:0:0:1 - - [17/Jan/2023:22:51:56 +0100] "GET /ecom/dist/img/person.jpg HTTP/1.1" 200 4500
0:0:0:0:0:0:0:1 - - [17/Jan/2023:22:52:03 +0100] "GET /ecom/commande HTTP/1.1" 200 11773
0:0:0:0:0:0:0:1 - - [17/Jan/2023:22:52:03 +0100] "GET /ecom/plugins/fontawesome-free/css1/all.min.css HTTP/1.1" 404 744
0:0:0:0:0:0:0:1 - - [17/Jan/2023:22:52:03 +0100] "GET /ecom/image/microsoft%20Surface.jpg HTTP/1.1" 200 60075
